MotoristaID,Nome,Cpf,CNH,TransportadoraID
1,Ana Nogueira,81204909277,74967077438,8
2,Tatiane Nogueira,05919054046,79757634152,6
3,Patrícia Almeida,60641199135,20752564522,14
4,Diego Rodrigues,23304584137,58550888546,9
5,Bianca Lopes,84821222553,44092540851,2
6,Camila Teixeira,44496671689,50867230881,7
7,Eduardo Carvalho,41771186889,96073753653,6
8,Karina Almeida,96827748764,94949963317,5
9,Otávio Castro,77715227865,73963362184,11
10,Paula Santos,63818395606,13036001084,8
11,Gabriela Santos,60605828896,89969290910,13
12,Beatriz Farias,79490228473,15332459999,11
13,Leandro Lima,14998648886,52633409422,9
14,Rafael Moraes,52316967416,46641780146,8
15,João Barbosa,53793473166,66408578471,9
16,André Oliveira,75026645184,53092571252,3
17,Helena Castro,24135031128,54949547391,4
18,Gustavo Dias,58126055188,90689383730,10
19,Sérgio Peixoto,99882400586,71494834242,10
20,Daniel Rodrigues,91686776499,53176601558,3
21,Daniel Farias,19958441233,35219841434,4
22,Daniel Martins,81118296500,85469205372,8
23,Mateus Azevedo,03760008206,14752445885,12
24,Vitor Castro,21308052891,83791028030,3
25,Eduardo Rocha,57402604007,23606841312,7
26,Isabela Cavalcanti,13814614548,15218671978,5
27,Camila Pereira,42134173020,15058857416,7
28,Rafael Martins,29785011419,99163510553,6
29,Isabela Carvalho,18785551584,47638975099,11
30,Gabriela Moreira,30781224358,90355289311,12
31,Yasmin Barbosa,85155029321,13159048802,9
32,João Ribeiro,81502752179,82876248222,8
33,Luiza Ribeiro,84612845428,39119286424,10
34,João Almeida,25539230536,99319529962,7
35,Mariana Lima,14864332126,55555669516,3
36,Rodrigo Oliveira,76546214770,31555663522,5
37,Daniel Moreira,57783475483,92487837460,2
38,Murilo Azevedo,84684872935,68131015760,10
39,Heitor Lima,03378261872,76322934291,10
40,Bianca Souza,51833479607,55458887406,9
41,Larissa Teixeira,97119474779,73000391065,5
42,Rodrigo Rocha,64532776595,17877611468,2
43,Murilo Correia,96039032127,26965986692,2
44,Sérgio Azevedo,55677653782,68151064266,6
45,Rodrigo Carvalho,75215788866,86511456547,9
46,João Lopes,96484765474,33103656172,8
47,Fernanda Nogueira,94453397204,26661643584,2
48,Carla Nogueira,69951511899,88148193649,12
49,Marcelo Nogueira,40706798145,46870969892,3
50,Patrícia Rodrigues,64763909036,49050455643,3
